subject_label,image_outlier_percentage,contrast_name
061 (vif=6),12.996831883101654,Q01_v_baseline
130 (vif=5),4.066478779181855,Q01_v_baseline
172 (vif=5),2.438297246481085,Q01_v_baseline
192 (vif=3),1.1348775087550533,Q01_v_baseline
234 (vif=3),5.377848622048027,Q01_v_baseline
251 (vif=5),4.764895515743196,Q01_v_baseline
358 (vif=2),2.26259992288398,Q01_v_baseline
373 (vif=10),13.34584149875382,Q01_v_baseline
445 (vif=3),7.031867996454253,Q01_v_baseline
465 (vif=5),2.7312586208952614,Q01_v_baseline
483 (vif=7),7.743402406496826,Q01_v_baseline
491 (vif=6),2.6163796016202316,Q01_v_baseline
495 (vif=3),4.129284609788964,Q01_v_baseline
497 (vif=7),6.677293307203988,Q01_v_baseline
512 (vif=3),1.281556948590645,Q01_v_baseline
513 (vif=8),41.27495836132433,Q01_v_baseline
518 (vif=5),3.641148154184339,Q01_v_baseline
519 (vif=4),9.104460406488876,Q01_v_baseline
524 (vif=3),3.1339314462433765,Q01_v_baseline
525 (vif=3),1.4095536413469067,Q01_v_baseline
526 (vif=3),2.0324443790769133,Q01_v_baseline
541 (vif=3),2.724103526269135,Q01_v_baseline
546 (vif=5),5.117880183965433,Q01_v_baseline
548 (vif=6),2.3472685426264763,Q01_v_baseline
549 (vif=6),4.719977421701402,Q01_v_baseline
553 (vif=9),8.180658189204552,Q01_v_baseline
554 (vif=10),6.525843804284312,Q01_v_baseline
555 (vif=8),2.456582488303408,Q01_v_baseline
556 (vif=9),13.273098036721535,Q01_v_baseline
557 (vif=8),8.354765491773628,Q01_v_baseline
558 (vif=8),7.874976646566151,Q01_v_baseline
561 (vif=8),6.898306230099893,Q01_v_baseline
567 (vif=3),2.6716328323442076,Q01_v_baseline
568 (vif=4),2.0733874205486367,Q01_v_baseline
570 (vif=8),5.461722231276509,Q01_v_baseline
572 (vif=3),1.113014719619667,Q01_v_baseline
573 (vif=3),9.620422230083992,Q01_v_baseline
574 (vif=5),4.007250495887808,Q01_v_baseline
577 (vif=3),0.5596874018658897,Q01_v_baseline
